grinning	😀	grinning face
woman_health_worker	👩‍⚕️	woman health worker
student	🧑‍🎓	student
man_student	👨‍🎓	man student
woman_student	👩‍🎓	woman student
teacher	🧑‍🏫	teacher
man_teacher	👨‍🏫	man teacher
woman_teacher	👩‍🏫	woman teacher
judge	🧑‍⚖️	judge
man_judge	👨‍⚖️	man judge
woman_judge	👩‍⚖️	woman judge
farmer	🧑‍🌾	farmer
man_farmer	👨‍🌾	man farmer
woman_farmer	👩‍🌾	woman farmer
cook	🧑‍🍳	cook
man_cook	👨‍🍳	man cook
woman_cook	👩‍🍳	woman cook
mechanic	🧑‍🔧	mechanic
man_mechanic	👨‍🔧	man mechanic
woman_mechanic	👩‍🔧	woman mechanic
factory_worker	🧑‍🏭	factory worker
man_factory_worker	👨‍🏭	man factory worker
woman_factory_worker	👩‍🏭	woman factory worker
office_worker	🧑‍💼	office worker
man_office_worker	👨‍💼	man office worker
woman_office_worker	👩‍💼	woman office worker
scientist	🧑‍🔬	scientist
man_scientist	👨‍🔬	man scientist
woman_scientist	👩‍🔬	woman scientist
technologist	🧑‍💻	technologist
man_technologist	👨‍💻	man technologist
woman_technologist	👩‍💻	woman technologist
singer	🧑‍🎤	singer
man_singer	👨‍🎤	man singer
woman_singer	👩‍🎤	woman singer
artist	🧑‍🎨	artist
man_artist	👨‍🎨	man artist
woman_artist	👩‍🎨	woman artist
pilot	🧑‍✈️	pilot
man_pilot	👨‍✈️	man pilot
woman_pilot	👩‍✈️	woman pilot
astronaut	🧑‍🚀	astronaut
man_astronaut	👨‍🚀	man astronaut
woman_astronaut	👩‍🚀	woman astronaut
firefighter	🧑‍🚒	firefighter
man_firefighter	👨‍🚒	man firefighter
woman_firefighter	👩‍🚒	woman firefighter
police_officer	👮	police officer
cop	👮	police officer
policeman	👮‍♂️	man police officer
policewoman	👮‍♀️	woman police officer
detective	🕵️	detective
male_detective	🕵️‍♂️	man detective
female_detective	🕵️‍♀️	woman detective
guard	💂	guard
guardsman	💂‍♂️	man guard
guardswoman	💂‍♀️	woman guard
ninja	🥷	ninja
construction_worker	👷	construction worker
construction_worker_man	👷‍♂️	man construction worker
construction_worker_woman	👷‍♀️	woman construction worker
person_with_crown	🫅	person with crown
prince	🤴	prince
princess	👸	princess
person_with_turban	👳	person wearing turban
man_with_turban	👳‍♂️	man wearing turban
woman_with_turban	👳‍♀️	woman wearing turban
man_with_gua_pi_mao	👲	person with skullcap
woman_with_headscarf	🧕	woman with headscarf
person_in_tuxedo	🤵	person in tuxedo
man_in_tuxedo	🤵‍♂️	man in tuxedo
woman_in_tuxedo	🤵‍♀️	woman in tuxedo
person_with_veil	👰	person with veil
man_with_veil	👰‍♂️	man with veil
woman_with_veil	👰‍♀️	woman with veil
bride_with_veil	👰‍♀️	woman with veil
pregnant_woman	🤰	pregnant woman
pregnant_man	🫃	pregnant man
pregnant_person	🫄	pregnant person
breast_feeding	🤱	breast-feeding
woman_feeding_baby	👩‍🍼	woman feeding baby
man_feeding_baby	👨‍🍼	man feeding baby
person_feeding_baby	🧑‍🍼	person feeding baby
angel	👼	baby angel
santa	🎅	Santa Claus
mrs_claus	🤶	Mrs. Claus
mx_claus	🧑‍🎄	mx claus
superhero	🦸	superhero
superhero_man	🦸‍♂️	man superhero
superhero_woman	🦸‍♀️	woman superhero
supervillain	🦹	supervillain
supervillain_man	🦹‍♂️	man supervillain
supervillain_woman	🦹‍♀️	woman supervillain
mage	🧙	mage
mage_man	🧙‍♂️	man mage
